State,Year,Quarter,District,RegisteredUser
arunachal-pradesh,2018,4,shi yomi district,144
arunachal-pradesh,2018,4,east kameng district,691
arunachal-pradesh,2018,4,lohit district,3588
arunachal-pradesh,2018,4,lepa rada district,548
arunachal-pradesh,2018,4,lower dibang valley district,1827
arunachal-pradesh,2018,4,longding district,923
arunachal-pradesh,2018,4,west siang district,2117
arunachal-pradesh,2018,4,kamle district,109
arunachal-pradesh,2018,4,upper siang district,868
arunachal-pradesh,2018,4,kurung kumey district,321
arunachal-pradesh,2018,4,siang district,483
arunachal-pradesh,2018,4,kra daadi district,255
arunachal-pradesh,2018,4,changlang district,4036
arunachal-pradesh,2018,4,pakke kessang district,138
arunachal-pradesh,2018,4,east siang district,4813
arunachal-pradesh,2018,4,upper subansiri district,1576
arunachal-pradesh,2018,4,tawang district,4085
arunachal-pradesh,2018,4,namsai district,2495
arunachal-pradesh,2019,1,lower subansiri district,1879
arunachal-pradesh,2019,1,tirap district,2082
arunachal-pradesh,2019,1,papum pare district,26298
arunachal-pradesh,2019,1,anjaw district,934
arunachal-pradesh,2019,1,lower siang district,1123
arunachal-pradesh,2019,1,dibang valley district,211
arunachal-pradesh,2019,1,west kameng district,8115
arunachal-pradesh,2019,1,shi yomi district,186
arunachal-pradesh,2019,1,east kameng district,876
arunachal-pradesh,2019,1,lohit district,4416
arunachal-pradesh,2019,1,lepa rada district,710
arunachal-pradesh,2019,1,lower dibang valley district,2314
arunachal-pradesh,2019,1,longding district,1152
arunachal-pradesh,2019,1,west siang district,2656
arunachal-pradesh,2019,1,kamle district,141
arunachal-pradesh,2019,1,upper siang district,1125
arunachal-pradesh,2019,1,kurung kumey district,385
arunachal-pradesh,2019,1,siang district,651
arunachal-pradesh,2019,1,kra daadi district,350
arunachal-pradesh,2019,1,changlang district,5210
arunachal-pradesh,2019,1,pakke kessang district,162
arunachal-pradesh,2019,1,east siang district,5899
arunachal-pradesh,2019,1,upper subansiri district,1906
arunachal-pradesh,2019,1,tawang district,5023
arunachal-pradesh,2019,1,namsai district,3153
arunachal-pradesh,2019,2,lower subansiri district,2463
arunachal-pradesh,2019,2,tirap district,2697
arunachal-pradesh,2019,2,papum pare district,32800
arunachal-pradesh,2019,2,anjaw district,1175
arunachal-pradesh,2019,2,lower siang district,1457
arunachal-pradesh,2019,2,dibang valley district,241
arunachal-pradesh,2019,2,west kameng district,9782
arunachal-pradesh,2019,2,shi yomi district,225
arunachal-pradesh,2019,2,east kameng district,1075
arunachal-pradesh,2019,2,lohit district,5485
arunachal-pradesh,2019,2,lepa rada district,903
arunachal-pradesh,2019,2,lower dibang valley district,2842
arunachal-pradesh,2019,2,longding district,1420
arunachal-pradesh,2019,2,west siang district,3393
arunachal-pradesh,2019,2,kamle district,212
arunachal-pradesh,2019,2,upper siang district,1372
arunachal-pradesh,2019,2,kurung kumey district,481
arunachal-pradesh,2019,2,siang district,831
arunachal-pradesh,2019,2,kra daadi district,440
arunachal-pradesh,2019,2,changlang district,6884
arunachal-pradesh,2019,2,pakke kessang district,211
arunachal-pradesh,2019,2,east siang district,7319
arunachal-pradesh,2019,2,upper subansiri district,2355
arunachal-pradesh,2019,2,tawang district,5908
arunachal-pradesh,2019,2,namsai district,3914
arunachal-pradesh,2019,3,lower subansiri district,2928
arunachal-pradesh,2019,3,tirap district,3099
arunachal-pradesh,2019,3,papum pare district,38845
arunachal-pradesh,2019,3,anjaw district,1358
arunachal-pradesh,2019,3,lower siang district,1689
arunachal-pradesh,2019,3,dibang valley district,271
arunachal-pradesh,2019,3,west kameng district,11186
arunachal-pradesh,2019,3,shi yomi district,239
arunachal-pradesh,2019,3,east kameng district,1304
arunachal-pradesh,2019,3,lohit district,6421
arunachal-pradesh,2019,3,lepa rada district,1064
arunachal-pradesh,2019,3,lower dibang valley district,3398
arunachal-pradesh,2019,3,longding district,1634
arunachal-pradesh,2019,3,west siang district,4101
arunachal-pradesh,2019,3,kamle district,258
arunachal-pradesh,2019,3,upper siang district,1486
arunachal-pradesh,2019,3,kurung kumey district,572
arunachal-pradesh,2019,3,siang district,948
arunachal-pradesh,2019,3,kra daadi district,524
arunachal-pradesh,2019,3,changlang district,8145
arunachal-pradesh,2019,3,pakke kessang district,244
arunachal-pradesh,2019,3,east siang district,8571
arunachal-pradesh,2019,3,upper subansiri district,2748
arunachal-pradesh,2019,3,tawang district,6553
arunachal-pradesh,2019,3,namsai district,4563
arunachal-pradesh,2019,4,lower subansiri district,3564
arunachal-pradesh,2019,4,tirap district,3605
arunachal-pradesh,2019,4,papum pare district,44746
arunachal-pradesh,2019,4,anjaw district,1564
arunachal-pradesh,2019,4,lower siang district,1921
arunachal-pradesh,2019,4,dibang valley district,289
arunachal-pradesh,2019,4,west kameng district,12562
arunachal-pradesh,2019,4,shi yomi district,266
arunachal-pradesh,2019,4,east kameng district,1623
arunachal-pradesh,2019,4,lohit district,7386
arunachal-pradesh,2019,4,lepa rada district,1263
arunachal-pradesh,2019,4,lower dibang valley district,3944
arunachal-pradesh,2019,4,longding district,1847
arunachal-pradesh,2019,4,west siang district,4773
arunachal-pradesh,2019,4,kamle district,323
arunachal-pradesh,2019,4,upper siang district,1804
arunachal-pradesh,2019,4,kurung kumey district,653
arunachal-pradesh,2019,4,siang district,1131
arunachal-pradesh,2019,4,kra daadi district,603
arunachal-pradesh,2019,4,changlang district,9662
arunachal-pradesh,2019,4,pakke kessang district,296
arunachal-pradesh,2019,4,east siang district,9859
arunachal-pradesh,2019,4,upper subansiri district,3144
arunachal-pradesh,2019,4,tawang district,7303
arunachal-pradesh,2019,4,namsai district,5190
arunachal-pradesh,2020,1,lower subansiri district,4351
arunachal-pradesh,2020,1,tirap district,4261
arunachal-pradesh,2020,1,papum pare district,51342
arunachal-pradesh,2020,1,anjaw district,1747
arunachal-pradesh,2020,1,lower siang district,2201
arunachal-pradesh,2020,1,dibang valley district,320
arunachal-pradesh,2020,1,west kameng district,13983
arunachal-pradesh,2020,1,shi yomi district,290
arunachal-pradesh,2020,1,east kameng district,1962
arunachal-pradesh,2020,1,lohit district,8454
arunachal-pradesh,2020,1,lepa rada district,1532
arunachal-pradesh,2020,1,lower dibang valley district,4650
arunachal-pradesh,2020,1,longding district,2201
arunachal-pradesh,2020,1,west siang district,5757
arunachal-pradesh,2020,1,kamle district,373
arunachal-pradesh,2020,1,upper siang district,2143
arunachal-pradesh,2020,1,kurung kumey district,725
